tenant_id,order_id,instrument_isin,instrument_name,order_side,order_execution_total_value,order_execution_total_share_qty
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O001,DE000BMW1111,BMW AG,sell,410.64,5
8f6817fa-8549-4768-9f68-c4a60b8a3699,O002,DE000BMW1111,BMW AG,sell,977.08,15
8f6817fa-8549-4768-9f68-c4a60b8a3699,O003,DE000BMW1111,BMW AG,sell,902.38,18
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O004,DE000BMW1111,BMW AG,sell,698.94,9
8036641c-af0e-44bd-8196-c03d6b73a96f,O005,DE000BMW1111,BMW AG,sell,277.71,8
b9fdacbf-e489-468c-80ff-6c05c1af0066,O006,GB0002634946,Shell PLC,sell,1168.45,15
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O007,US5949181045,Microsoft Corp,buy,767.87,9
4deea274-abce-41f7-b80e-0f990b36429c,O008,GB0002634946,Shell PLC,buy,1024.24,16
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O009,GB0002634946,Shell PLC,buy,1103.76,18
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O010,US0378331005,Apple Inc,buy,1178.50,13
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O011,GB0002634946,Shell PLC,buy,960.75,15
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O012,GB0002634946,Shell PLC,buy,726.60,10
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O013,US5949181045,Microsoft Corp,buy,1028.34,17
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O014,US5949181045,Microsoft Corp,buy,758.79,11
4deea274-abce-41f7-b80e-0f990b36429c,O015,GB0002634946,Shell PLC,buy,318.46,5
4deea274-abce-41f7-b80e-0f990b36429c,O016,US0378331005,Apple Inc,buy,498.91,9
4deea274-abce-41f7-b80e-0f990b36429c,O017,US0378331005,Apple Inc,sell,730.72,14
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O018,US0378331005,Apple Inc,buy,1650.83,26
8036641c-af0e-44bd-8196-c03d6b73a96f,O019,US5949181045,Microsoft Corp,buy,476.98,7
8036641c-af0e-44bd-8196-c03d6b73a96f,O020,US0378331005,Apple Inc,sell,505.44,8
8036641c-af0e-44bd-8196-c03d6b73a96f,O021,US0378331005,Apple Inc,buy,619.39,11
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O022,US0378331005,Apple Inc,sell,856.27,14
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O023,US0378331005,Apple Inc,sell,901.59,15
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O024,JP0006789501,Toyota Motor,sell,937.57,11
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O025,JP0006789501,Toyota Motor,buy,666.79,8
4deea274-abce-41f7-b80e-0f990b36429c,O026,US0378331005,Apple Inc,sell,806.48,13
8036641c-af0e-44bd-8196-c03d6b73a96f,O027,US0378331005,Apple Inc,sell,367.89,6
8036641c-af0e-44bd-8196-c03d6b73a96f,O028,US0378331005,Apple Inc,sell,778.38,14
ff12f85a-f31d-42c8-906e-c8cec7e11c20,O029,US0378331005,Apple Inc,sell,643.30,11
8036641c-af0e-44bd-8196-c03d6b73a96f,O030,US0378331005,Apple Inc,sell,776.55,13
8036641c-af0e-44bd-8196-c03d6b73a96f,O031,US0378331005,Apple Inc,buy,442.47,8
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O032,JP0006789501,Toyota Motor,sell,1008.67,14
8036641c-af0e-44bd-8196-c03d6b73a96f,O033,US0378331005,Apple Inc,buy,548.63,10
8f6817fa-8549-4768-9f68-c4a60b8a3699,O034,JP0006789501,Toyota Motor,sell,460.48,7
8036641c-af0e-44bd-8196-c03d6b73a96f,O035,US5949181045,Microsoft Corp,buy,1027.89,17
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O036,US0378331005,Apple Inc,buy,345.41,6
b9fdacbf-e489-468c-80ff-6c05c1af0066,O037,JP0006789501,Toyota Motor,sell,753.45,11
47ec62d8-59c2-4586-8cfc-35bc7d31a034,O038,US5949181045,Microsoft Corp,sell,817.49,12
b9fdacbf-e489-468c-80ff-6c05c1af0066,O039,US5949181045,Microsoft Corp,buy,539.64,8
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O040,JP0006789501,Toyota Motor,buy,1108.70,17
8036641c-af0e-44bd-8196-c03d6b73a96f,O041,US0378331005,Apple Inc,buy,515.64,9
8036641c-af0e-44bd-8196-c03d6b73a96f,O042,US0378331005,Apple Inc,buy,837.69,15
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O043,US5949181045,Microsoft Corp,buy,377.17,6
8f6817fa-8549-4768-9f68-c4a60b8a3699,O044,US0378331005,Apple Inc,buy,848.92,14
8036641c-af0e-44bd-8196-c03d6b73a96f,O045,US5949181045,Microsoft Corp,sell,874.81,14
f2ad29ca-62f1-41c6-9e4a-e769c7ef2cec,O046,US5949181045,Microsoft Corp,sell,383.05,6
b9fdacbf-e489-468c-80ff-6c05c1af0066,O047,GB0002634946,Shell PLC,sell,852.42,13
4deea274-abce-41f7-b80e-0f990b36429c,O048,JP0006789501,Toyota Motor,sell,305.57,5
93e839f9-98ae-49c8-a1ed-2a4c8a89e7de,O049,US5949181045,Microsoft Corp,sell,861.48,13
4deea274-abce-41f7-b80e-0f990b36429c,O050,US5949181045,Microsoft Corp,sell,356.37,6
